title,company,job_location,job_state,date,site,job_description,salary,url,applied,search_term
Senior Software Engineer - AI Trainer,DataAnnotation,"Remote in Buffalo, NY",remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=0fc54a9ee7ddcab4,False,software engineer
Senior Software Engineer - AI Trainer,DataAnnotation,"Remote in Danbury, CT",remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=3644414b02c55580,False,software engineer
"Software Engineer, 2",Dotdash Meredith,"Remote in New York, NY",remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=626957bc9b2c0932,False,software engineer
Software Engineer - Graph [IC3] New,Sourcegraph,Remote,remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=afa29b7091933015,False,software engineer
"Returnship Apprentice, Software Engineering - REMOTE",Home Depot / THD,"Remote in Atlanta, GA",remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=99bf01dce408ee08,False,software engineer
Software Engineer,Independence Pet Group,"Remote in Chicago, IL",remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=0acf35e080a588ec,False,software engineer
Junior Software Engineer,Corporate Tools,"Remote in Spokane, WA",remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=a7b123b7b7425908,False,software engineer
Software Engineer,Mission Lane,Remote,remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=fab4ac467085d26c,False,software engineer
"Software Engineer, Full Stack",Dataminr,Remote,remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=267e5a66e5760990,False,software engineer
Software Engineer - Back End,Submittable,Remote,remote,2025-06-26,Indeed,"We are looking for proficient programmers to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.
To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language/framework (JavaScript, TypeScript, Python, C, C#, C++, HTML/CSS, React, Go, Java, Kotlin, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.
As part of the application process, you will be asked to complete an assessment. If you pass, you will gain access to projects. Based on the quality of your work, you will continue to receive projects regularly. We find our most successful candidates work between 5-20 hours per week, up to 40 hours.
Benefits:
This is a full-time or part-time REMOTE position
You’ll be able to choose which projects you want to work on
You can work on your own schedule
Projects are paid hourly, with bonuses on high-quality and high-volume work
Responsibilities:
Come up with diverse problems and solutions for a coding chatbot
Write high-quality answers and code snippets
Evaluate code quality produced by AI models for correctness and performance
Qualifications:
Fluency in English
Proficient in either Python and/or JavaScript
Detail-oriented
Excellent writing and grammar skills
A bachelor's degree (completed or in progress)
Note: Payment is made via PayPal. We will never ask for any money from you.
#INDUSSD
Job Type: Contract
Pay: From $40.00 per hour
Benefits:
Flexible schedule
Work Location: Remote",N/A,https://www.indeed.com/viewjob?jk=697229a7499d86c6,False,software engineer
